gene_id,pfam_accessions
gene-Alg1,PF00534.27;PF13439.13;PF13524.13;PF13692.13
gene-Alg10,PF01569.28
gene-Alg11,PF00534.27;PF13692.13;PF15924.12
gene-Alg12,PF03901.24
gene-Alg14,PF08660.18
gene-Alg2,PF00534.27;PF13439.13;PF13579.13;PF13692.13
gene-Alg3,PF05208.20
gene-Alg7,PF00953.27
gene-Alg9,PF03901.24
gene-Alk,PF00069.32;PF00629.31;PF07714.24;PF12810.14
gene-AlkB,PF13532.13
gene-Alr,PF04777.19
gene-Als2,PF00415.25;PF02204.24;PF02493.27;PF13540.13;PF25383.2;PF25384.2;PF25390.2;PF25582.2;PF26202.1
gene-Aly,PF06584.19;PF19438.5
gene-Amacr,PF02515.23
gene-Amnionless,PF14828.12
gene-Amph,PF00018.35;PF03114.24;PF07653.24;PF14604.13
gene-Amt,PF00909.27
gene-Amy,PF00128.32;PF02806.25
gene-Ance-3,PF01401.25
gene-Ankle2,PF00023.37;PF24567.2
gene-Ankrd49,PF00023.37;PF12796.14;PF13606.13;PF13637.13;PF13857.13
gene-AnnIX,PF00191.26
gene-Ant,PF00153.33
gene-AnxB10,PF00191.26
gene-Anxb13,PF00191.26
gene-Aos1,PF00899.28
gene-Aox1,PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-Apaf-1,PF00619.28;PF00931.29;PF12894.14;PF17908.7;PF21296.4;PF23098.2;PF23381.2;PF23414.2;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25168.2;PF25171.2;PF25173.2;PF25174.2;PF25175.2
gene-ApepP,PF00557.30;PF01321.25;PF16188.11;PF16189.12
gene-Apf,PF00293.35
gene-Aplip1,PF00018.35;PF00640.30;PF14604.13
gene-Apn1,PF01433.27;PF11838.15;PF17900.7
gene-Apn2,PF01433.27;PF11838.15;PF17900.7
gene-Apn3,PF01433.27;PF11838.15;PF17900.7
gene-Apn4,PF01433.27;PF11838.15;PF17900.7
gene-Apoltp,PF00094.31;PF01347.29;PF06448.17;PF09172.17
gene-Appl,PF02177.22;PF10515.15;PF12924.13;PF12925.13
gene-Aprt,PF00156.34
gene-Aps,PF00293.35
gene-Apt1,PF00561.27;PF02230.23;PF12697.14
gene-Aptx,PF01230.30;PF11969.14;PF16278.12
gene-Arc42,PF00441.30;PF02770.25;PF02771.22;PF08028.17
gene-Archease,PF01951.22
gene-Arf102F,PF00025.28;PF00071.29;PF00503.27;PF01926.30;PF04670.19;PF08477.20;PF09439.17
gene-Arf51F,PF00025.28;PF00071.29;PF00503.27;PF04670.19;PF08477.20;PF09439.17
gene-Arf79F,PF00025.28;PF00071.29;PF00503.27;PF04670.19;PF08477.20;PF09439.17
gene-ArfGAP1,PF01412.24
gene-ArfGAP3,PF01412.24
gene-Arfip,PF06456.19
gene-Arfrp1,PF00025.28;PF00071.29;PF00503.27;PF01926.30;PF04670.19;PF08477.20;PF09439.17
gene-ArgRS-m,PF00750.26;PF05746.22
gene-Argl,PF00206.26;PF14698.12
gene-Arglu1,PF15346.12
gene-Arl1,PF00025.28;PF00071.29;PF00503.27;PF04670.19;PF08477.20;PF09439.17
gene-Arl2,PF00009.34;PF00025.28;PF00071.29;PF00503.27;PF01926.30;PF04670.19;PF08477.20;PF09439.17
gene-Arl4,PF00025.28;PF00071.29;PF08477.20;PF09439.17
gene-Arl5,PF00025.28;PF00071.29;PF00503.27;PF01926.30;PF04670.19;PF08477.20;PF09439.17
gene-Arl6,PF00025.28;PF00083.31;PF00503.27;PF01926.30;PF07690.22;PF08477.20
gene-Arl6IP1,PF24456.2
gene-Arp1,PF00022.26
gene-Arp10,PF00022.26
gene-Arp2,PF00022.26
gene-Arp3,PF00022.26
gene-Arp5,PF00022.26
gene-Arp6,PF00022.26
gene-Arp8,PF00022.26;PF17003.13
gene-Arpc1,PF00400.39;PF12894.14;PF23381.2;PF23383.2;PF23414.2;PF23775.2;PF24105.2;PF24796.2;PF24797.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25460.2
gene-Arpc2,PF04045.20
gene-Arpc3A,PF04062.20
gene-Arpc4,PF05856.18
gene-Arpc5,PF04699.20
gene-Arr1,PF00339.35;PF02752.28
gene-Arr2,PF00339.35;PF02752.28
gene-Ars2,PF04959.20;PF12066.14
gene-Art1,PF02353.27;PF02475.24;PF05175.21;PF06325.20;PF08241.19;PF13649.13;PF13847.13;PF22528.2
gene-Art3,PF03848.21;PF05175.21;PF06325.20;PF08003.18;PF08241.19;PF08242.19;PF13489.13;PF13649.13;PF13847.13;PF21137.4;PF22528.2
gene-Art4,PF05175.21;PF05185.23;PF06325.20;PF08003.18;PF08241.19;PF08242.19;PF11531.15;PF13489.13;PF13649.13;PF13847.13;PF22528.2
gene-Art7,PF05175.21;PF06325.20;PF22528.2
gene-Art8,PF05175.21;PF06325.20;PF08241.19;PF13649.13;PF13847.13;PF22528.2
gene-Arv1,PF04161.19
gene-Asap,PF00018.35;PF00023.37;PF00169.36;PF01412.24;PF07653.24;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF14604.13;PF16746.11
gene-Asator,PF00069.32;PF07714.24
gene-Ase,PF00010.32
gene-Ask1,PF00069.32;PF07714.24;PF13281.13;PF19039.7;PF20302.5;PF20308.5;PF20309.5
gene-AsnRS,PF00152.26;PF01336.32;PF20917.3
gene-AsnRS-m,PF00152.26;PF01336.32
gene-AsnS,PF00733.28;PF13522.12;PF13537.12
gene-AspRS,PF00152.26;PF01336.32
gene-AspRS-m,PF00152.26;PF01336.32
gene-Asph,PF05118.22;PF13432.13
gene-Ass,PF00764.26;PF20979.3
gene-AstA-R1,PF00001.27;PF10320.16;PF10323.16;PF10324.16;PF10328.16
gene-Asx,PF13919.12;PF13922.12
gene-Atac1,PF00249.38
gene-Atac2,PF00583.32;PF13508.14
gene-Atac3,PF00023.37;PF12796.14;PF13606.13;PF13637.13;PF13857.13
gene-Ate1,PF04376.20;PF04377.22
gene-Atet,PF00005.34;PF01061.30;PF02463.26;PF13304.13;PF19055.7
gene-Atf3,PF00170.27;PF07716.21
gene-Atf6,PF00170.27
gene-Atg1,PF00069.32;PF03109.23;PF06293.21;PF07714.24;PF21127.5
gene-Atg10,PF03987.21
gene-Atg101,PF07855.18
gene-Atg12,PF02991.23;PF04110.20
gene-Atg14,PF10186.15
gene-Atg16,PF00400.39;PF08614.17;PF08662.18;PF12894.14;PF20426.5;PF23381.2;PF23389.2;PF23393.3;PF23409.2;PF23414.2;PF23609.2;PF23761.2;PF23775.2;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2;PF25460.2
gene-Atg17,PF04108.18;PF10377.15
gene-Atg3,PF03987.21
gene-Atg4a,PF03416.26
gene-Atg4b,PF03416.26
gene-Atg5,PF04106.19;PF20637.3;PF20638.4
gene-Atg6,PF04111.18;PF17675.7
gene-Atg7,PF00899.28;PF16420.11
gene-Atg8,PF02991.23
gene-Atg9,PF04109.22
gene-Atox1,PF00403.33
gene-Atpalpha,PF00122.26;PF00689.27;PF00690.32;PF00702.33;PF08282.19;PF13246.13
gene-Atpsyn-beta,PF00006.32;PF02874.30;PF22919.2
gene-Atu,PF04004.19
gene-Atx-1,PF08517.18
gene-Aven,PF28377.1
gene-Awh,PF00046.36;PF00412.29
gene-Axn,PF00615.25;PF00778.24;PF08833.16
gene-Axud1,PF16019.11
gene-B52,PF00076.29
gene-B9d1,PF07162.18
gene-BAEE,PF00089.33;PF12032.14
gene-BBS1,PF14779.13;PF23304.2
gene-BBS5,PF07289.18
gene-BBS8,PF00515.35;PF07719.24;PF13176.13;PF13181.13;PF13428.13;PF14559.13
gene-BBS9,PF14727.14;PF23337.2;PF23338.2
gene-BCAS2,PF05700.17
gene-BCL7-like,PF04714.19
gene-BGRP1,PF00722.29;PF15886.12
gene-BGRP2,PF00722.29;PF15886.12
gene-BGRP3,PF15886.12
gene-BHD,PF11704.14;PF16692.11
gene-BI-1,PF01027.27
gene-BNIP3,PF06553.18
gene-BORCS5,PF10158.14
gene-BORCS6,PF10157.15
gene-BORCS7,PF16088.11
gene-BRWD3,PF00400.39;PF00439.31;PF12894.14;PF20426.5;PF23381.2;PF23393.3;PF23409.2;PF23414.2;PF23756.2;PF24105.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25168.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25313.2;PF25391.2;PF25437.2
gene-BTBD9,PF00651.38;PF00754.32;PF07707.22;PF21536.5;PF22633.4
gene-Baldspot,PF01151.24
gene-Bap111,PF00505.26
gene-Bap170,PF01388.28;PF02257.22
gene-Bap55,PF00022.26
gene-Bap60,PF02201.24
gene-Bcat,PF01063.25
gene-BckdhA,PF00676.26
gene-BckdhB,PF02779.30;PF02780.26
gene-Bcp,PF00112.30;PF08246.18
gene-Bcs1,PF00004.36;PF08740.17;PF25426.2
gene-Bdp1,PF15963.12
gene-Bem46,PF00561.27;PF05448.19;PF06342.19;PF12146.16;PF12697.14
gene-Best2,PF01062.27;PF25539.2
gene-Bet3,PF04051.22
gene-Bet5,PF04099.19;PF04628.20
gene-BicC,PF00013.36;PF00536.38;PF07647.25;PF22801.3;PF22985.4;PF24234.2;PF24668.2
gene-BicD,PF09730.15
gene-Bili,PF00373.24;PF24522.2
gene-Bin1,PF06487.19
gene-Bka,PF04900.19;PF18477.8
gene-Blimp-1,PF00096.33;PF00856.34;PF13465.13;PF13894.13;PF21549.3;PF22995.3
gene-Blm,PF00270.36;PF00271.38;PF00570.29;PF09382.18;PF16124.11
gene-Blos1,PF06320.19
gene-Blos2,PF10046.15
gene-Bm-re,PF07690.22;PF13347.13
gene-BmDJ-1beta,PF01965.31
gene-BmMET2,PF00010.32;PF00989.32;PF08447.19;PF14598.13
gene-Bmap-A,PF00046.36;PF00412.29
gene-Bmcp,PF00153.33
gene-Bmp-2,PF00076.29
gene-Bmptp-Z,PF00102.33
gene-BomSIFR,PF00001.27;PF10320.16;PF10328.16
gene-Borealin,PF10512.15
gene-Boule,PF00076.29
gene-Br140,PF00439.31;PF00855.24;PF10513.15;PF13771.13;PF13831.13;PF13832.13
gene-Bre1,PF00097.32;PF26052.1;PF26095.1
gene-Brf,PF00382.25;PF07741.19;PF08271.18
gene-Brms1,PF08598.17
gene-Bruce,PF00179.32;PF00653.28;PF12356.14
gene-Bsg,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22854.3
gene-Btk29A,PF00017.31;PF00018.35;PF00069.32;PF00169.36;PF00779.25;PF07714.24;PF14604.13
gene-Btl,PF00047.32;PF00069.32;PF07679.23;PF07686.24;PF07714.24;PF08204.18;PF08205.19;PF13895.13;PF13927.13;PF16680.12;PF22971.3;PF25305.2
gene-Btr175,PF00028.24
gene-Bub1,PF00069.32;PF07714.24;PF08311.19
gene-Bub3,PF00400.39;PF12894.14;PF23098.2;PF23381.2;PF23383.2;PF23393.3;PF23409.2;PF23410.5;PF23414.2;PF23419.3;PF23609.2;PF23775.2;PF23798.2;PF23869.2;PF24105.2;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2
gene-Bug22,PF05018.19
gene-Bulli,PF07035.18;PF21029.4
gene-Burs,PF03045.21
gene-Bx,PF00412.29
gene-Bx42,PF02731.21
gene-C/EBP,PF07716.21
gene-C15,PF00046.36
gene-C1GalTA,PF02434.23
gene-C3G,PF00617.25
gene-CAH3,PF00194.27
gene-CAH9,PF00194.27
gene-CAHbeta,PF00484.25
gene-CAP,PF00018.35;PF07653.24;PF14604.13
gene-CBP,PF00036.39;PF13202.13;PF13405.13;PF13499.13;PF13833.13
gene-CCAP,PF11105.15
gene-CCDC53,PF10152.15
gene-CCE-un1,PF00135.35;PF20434.6
gene-CCHa1,PF27941.1
gene-CCHa2,PF27941.1
gene-CCT1,PF00118.30
gene-CCT2,PF00118.30
gene-CCT3,PF00118.30
gene-CCT4,PF00118.30
gene-CCT5,PF00118.30
gene-CCT6,PF00118.30
gene-CCT7,PF00118.30
gene-CCT8,PF00118.30
gene-CD98hc,PF00128.32;PF16028.11
gene-CDC50,PF03381.21
gene-CDase,PF04734.19;PF17048.12
gene-CHMP2B,PF03357.27
gene-CHOp24,PF01105.30
gene-CIA30,PF08547.19
gene-CIAPIN1,PF05093.19;PF20922.4
gene-CKIalpha,PF00069.32;PF07714.24;PF17667.8
gene-CLIP-190,PF01302.32;PF16641.11;PF27241.1
gene-CLIP11,PF00089.33;PF18322.7
gene-CLIP3,PF00089.33
gene-CLIP4,PF00089.33;PF12032.14
gene-CLS,PF01066.27
gene-CNBP,PF00098.29;PF13917.12;PF14787.12;PF27939.1
gene-CNPYb,PF11938.14
gene-COMMD4,PF21672.3
gene-COX5A,PF02284.22
gene-COX7B,PF16020.11
gene-CP8,PF12190.14
gene-CPF,PF11018.14
gene-CPFL2,PF11018.14
gene-CPH1,PF17223.9
gene-CPH28,PF00379.30
gene-CPH5,PF00379.30
gene-CPH6,PF04527.18
gene-CPR1,PF00379.30
gene-CPR123,PF00379.30
gene-CPR125,PF00379.30
gene-CPR126,PF00379.30
gene-CPR128,PF00379.30
gene-CPR129,PF00379.30
gene-CPR130,PF00379.30
gene-CPR132,PF00379.30
gene-CPR133,PF00379.30
gene-CPR135,PF00379.30
gene-CPR136,PF00379.30
gene-CPR139,PF00379.30
gene-CPR146,PF01391.24
gene-CPR147,PF00379.30
gene-CPR15,PF00379.30
gene-CPR16,PF00379.30
gene-CPR20,PF00379.30
gene-CPR21,PF00379.30
gene-CPR23,PF00379.30
gene-CPR25,PF00379.30
gene-CPR33,PF00379.30
gene-CPR34,PF00379.30
gene-CPR40,PF00379.30
gene-CPR41,PF00379.30
gene-CPR48,PF00379.30
gene-CPR49,PF00379.30
gene-CPR54,PF00379.30
gene-CPR55,PF00379.30
gene-CPR56,PF00379.30
gene-CPR57,PF00379.30
gene-CPR6,PF00379.30
gene-CPR62,PF00379.30
gene-CPR65,PF00379.30
gene-CPR69,PF00379.30
gene-CPR7,PF00379.30
gene-CPR70,PF00379.30
gene-CPR71,PF00379.30
gene-CPR72,PF00379.30
gene-CPR73,PF00379.30
gene-CPR79,PF00379.30
gene-CPR8,PF00379.30
gene-CPR81,PF00379.30
gene-CPR82,PF00379.30
gene-CPR83,PF00379.30
gene-CPR84,PF00379.30
gene-CPR9,PF00379.30
gene-CPR90,PF00379.30
gene-CPR91,PF00379.30
gene-CPR92,PF00379.30
gene-CPR93,PF00379.30
gene-CPR94,PF00379.30
gene-CPSF1,PF03178.22;PF10433.16;PF23726.2
gene-CPSF2,PF00753.34;PF07521.18;PF10996.15;PF12706.14;PF13299.12;PF16661.12
gene-CPT2,PF00755.26
gene-CRAT,PF00755.26
gene-CREG,PF13883.14
gene-CRIF,PF10147.15
gene-CRMP,PF01979.27;PF07969.18
gene-CSN1b,PF01399.34;PF10602.16;PF21151.3
gene-CSN3,PF01399.34;PF22788.3
gene-CSN4,PF01399.34;PF18420.7;PF22241.3
gene-CSN5,PF01398.27;PF18323.7
gene-CSN6,PF01398.27;PF13012.12
gene-CSN7,PF01399.34;PF18392.7;PF22061.3
gene-CSN8,PF10075.16
gene-CSP10,PF03392.19
gene-CSP11,PF03392.19
gene-CSP16,PF03392.19
gene-CSP4,PF03392.19
gene-CSP7,PF03392.19
gene-CSP9,PF03392.19
gene-CTL10,PF00059.28
gene-CTL11,PF00059.28
gene-CTL16,PF00059.28
gene-CTL4,PF00059.28
gene-CTL6,PF00059.28
gene-CYLD,PF00443.36;PF01302.32
gene-CYP338A1,PF00067.28
gene-CYP341B1,PF00067.28
gene-CYP354A1,PF00067.28
gene-CYP367A1,PF00067.28
gene-CYP49A1,PF00067.28;PF03372.30;PF14529.13
gene-Ca-Ma2d,PF02743.25;PF08399.17;PF08473.18
gene-Ca-alpha1T,PF00520.38;PF08016.19
gene-CaBP1,PF00085.27;PF04756.20;PF13098.14;PF20207.5
gene-CaMKII,PF00069.32;PF07714.24;PF08332.17;PF14534.13
gene-Cad74A,PF00028.24;PF08266.19;PF17756.8;PF23592.1;PF25374.1;PF28393.1;PF28399.1
gene-Cad86C,PF00028.24
gene-Cad89D,PF00028.24;PF22914.3;PF23592.1;PF25374.1;PF28393.1;PF28399.1
gene-Cad96Ca,PF00069.32;PF07714.24
gene-Cad99C,PF00028.24;PF22914.3;PF25374.1;PF28393.1;PF28399.1
gene-Cadps,PF00169.36;PF06292.24;PF25341.2
gene-Caf1-105,PF00400.39;PF12894.14;PF23098.2;PF23381.2;PF23383.2;PF23389.2;PF23393.3;PF23409.2;PF23414.2;PF23775.2;PF23869.2;PF24105.2;PF24782.3;PF24796.2;PF24797.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2;PF25460.2;PF26550.2
gene-Caf1-55,PF00400.39;PF12265.15;PF23215.1;PF23381.2;PF23389.2;PF23393.3;PF23409.2;PF23414.2;PF23419.3;PF23609.2;PF23760.2;PF23775.2;PF23869.2;PF24105.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2;PF25460.2
gene-CalpA,PF00036.39;PF00648.28;PF01067.29;PF13405.13;PF13499.13;PF13833.13
gene-CalpC,PF00648.28;PF01067.29
gene-Cals,PF00028.24;PF19699.5;PF28399.1
gene-Calx,PF01699.30;PF03160.21;PF16494.11
gene-Camta,PF01833.31;PF03859.22
gene-CanB,PF00036.39;PF10591.16;PF12763.14;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF23564.2
gene-Cand1,PF01602.27;PF02985.29;PF08623.17;PF11865.15;PF12717.14;PF13513.13;PF13646.13;PF22958.3;PF23227.2;PF23271.2;PF24492.2;PF24987.2;PF25757.2;PF25780.2;PF25782.3;PF25801.2;PF26715.1;PF28359.1
gene-Cap-D2,PF02985.29;PF12717.14;PF12922.14
gene-Cap-G,PF12719.14
gene-Cap-d3,PF01755.24;PF13704.14
gene-Caper,PF00076.29;PF15519.12
gene-Capr,PF18293.7
gene-Casp-4,PF00656.28
gene-Caspase1,PF00656.28
gene-Cat,PF00199.25;PF06628.18
gene-CatD,PF00026.29;PF14543.12
gene-Catl-like,PF00112.30;PF08246.18
gene-Catsup,PF02535.29
gene-Cbl,PF00097.32;PF02262.22;PF02761.21;PF02762.21;PF13639.13;PF13920.13;PF14447.13;PF24921.2
gene-Cbp20,PF00076.29
gene-Cbp53E,PF00036.39;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF16905.11;PF23564.2;PF25578.2
gene-Cbp80,PF02854.26;PF09088.18;PF09090.18
gene-Cby,PF14645.12
gene-Cbz,PF07716.21
gene-Cc2d2a,PF24652.2;PF24656.2
gene-Ccdc56,PF09813.15
gene-Ccdc58,PF09774.15
gene-Ccdc85,PF10226.15
gene-Cchl,PF01265.23
gene-Ccm3,PF06840.18;PF20929.3
gene-Ccnl1,PF00134.29;PF02984.25
gene-Ccs,PF00080.26
gene-Ccz1,PF19031.7;PF19032.7;PF19033.7
gene-Cda4,PF01607.30
gene-Cda5,PF01522.27;PF01607.30
gene-Cdc10,PF00069.32;PF07714.24
gene-Cdc16,PF00515.35;PF07719.24;PF12895.14;PF13181.13;PF13424.13
gene-Cdc25,PF00581.26
gene-Cdc27,PF00515.35;PF07719.24;PF12895.14;PF13174.13;PF13176.13;PF13181.13;PF13371.13;PF13414.13;PF13424.13;PF13428.13;PF13431.13;PF13432.13;PF14559.13;PF21033.5;PF23914.2;PF25062.2
gene-Cdc37,PF03234.20;PF08564.17;PF08565.17
gene-Cdc42,PF00025.28;PF00071.29;PF08477.20
gene-Cdc45,PF02724.20
gene-Cdc5,PF00249.38;PF11831.14;PF13921.13
gene-Cdc7,PF00069.32;PF07714.24
gene-Cdep,PF00169.36;PF00373.24;PF00621.26;PF08736.17;PF09379.17;PF09380.17
gene-Cdk1,PF00069.32;PF07714.24;PF12330.15
gene-Cdk12,PF00069.32;PF07714.24;PF12330.15
gene-Cdk2,PF00069.32;PF07714.24
gene-Cdk4,PF00069.32;PF03109.23;PF07714.24
gene-Cdk5,PF00069.32;PF03109.23;PF07714.24
gene-Cdk5alpha,PF03261.21
gene-Cdk7,PF00069.32;PF07714.24
gene-Cdk8,PF00069.32;PF07714.24
gene-Cdk9,PF00069.32;PF07714.24;PF12330.15
gene-Cds,PF01148.26
gene-Ced-12,PF04727.19;PF11841.15;PF16457.12;PF26964.1
