gene_id,kegg_ko
gene-Btl,ko:K04362
gene-Btl,ko:K05093
gene-Btl,ko:K05094
gene-Bub1,ko:K02178
gene-Bub1,ko:K06637
gene-Bub3,ko:K02180
gene-Bx42,ko:K06063
gene-C/EBP,ko:K09055
gene-C/EBP,ko:K10052
gene-C15,ko:K15607
gene-C1GalTA,ko:K00731
gene-C3G,ko:K06277
gene-CAH3,ko:K01672
gene-CAH9,ko:K01672
gene-CAH9,ko:K01674
gene-CAH9,ko:K18246
gene-CAHbeta,ko:K01673
gene-CCDC53,ko:K18463
gene-CCT1,ko:K09493
gene-CCT2,ko:K09494
gene-CCT3,ko:K09495
gene-CCT4,ko:K09496
gene-CCT5,ko:K09497
gene-CCT6,ko:K09498
gene-CCT7,ko:K09499
gene-CCT8,ko:K09500
gene-CD98hc,ko:K06519
gene-CD98hc,ko:K14210
gene-CDase,ko:K12349
gene-CHMP2B,ko:K12192
gene-CHOp24,ko:K20347
gene-CIA30,ko:K18159
gene-CKIalpha,ko:K08957
gene-CLIP-190,ko:K10421
gene-CLIP-190,ko:K10422
gene-CLIP3,ko:K01315
gene-CLIP4,ko:K01362
gene-CLIP4,ko:K09640
gene-CLS,ko:K08744
gene-CNBP,ko:K09250
gene-COX5A,ko:K02264
gene-CPR146,ko:K06237
gene-CPSF1,ko:K14401
gene-CPSF2,ko:K14402
gene-CPT2,ko:K08766
gene-CRAT,ko:K00624
gene-CREG,ko:K14407
gene-CRMP,ko:K01464
gene-CRMP,ko:K07528
gene-CSN1b,ko:K12175
gene-CSN3,ko:K12177
gene-CSN4,ko:K12178
gene-CSN5,ko:K09613
gene-CSN6,ko:K12179
gene-CSN7,ko:K12180
gene-CSN8,ko:K10655
gene-CSN8,ko:K12181
gene-CSP10,ko:K15127
gene-CSP4,ko:K15127
gene-CTL10,ko:K06721
gene-CTL10,ko:K17519
gene-CYLD,ko:K08601
gene-CYP338A1,ko:K14999
gene-CYP338A1,ko:K15003
gene-CYP341B1,ko:K07427
gene-CYP341B1,ko:K15001
gene-CYP354A1,ko:K14999
gene-CYP354A1,ko:K15003
gene-CYP367A1,ko:K15001
gene-CYP49A1,ko:K00488
gene-CYP49A1,ko:K15004
gene-CYP49A1,ko:K17951
gene-CYP49A1,ko:K17960
gene-Ca-Ma2d,ko:K04860
gene-Ca-Ma2d,ko:K04861
gene-Ca-alpha1T,ko:K04854
gene-Ca-alpha1T,ko:K04855
gene-Ca-alpha1T,ko:K04856
gene-CaBP1,ko:K09584
gene-CaMKII,ko:K04515
gene-Cad96Ca,ko:K04362
gene-Cad96Ca,ko:K05093
gene-Cad96Ca,ko:K05094
gene-Cad96Ca,ko:K05126
gene-Cad96Ca,ko:K08252
gene-Cad99C,ko:K16500
gene-Cadps,ko:K19933
gene-Caf1-105,ko:K10751
gene-Caf1-55,ko:K10752
gene-CalpA,ko:K01367
gene-CalpA,ko:K03853
gene-CalpA,ko:K08573
gene-CalpA,ko:K08577
gene-CalpA,ko:K08578
gene-CalpA,ko:K08585
gene-CalpC,ko:K08578
gene-Cals,ko:K04493
gene-Calx,ko:K05849
gene-Camta,ko:K21596
gene-CanB,ko:K06268
gene-Cand1,ko:K02941
gene-Cand1,ko:K17263
gene-Cap-D2,ko:K06677
gene-Cap-G,ko:K06678
gene-Cap-d3,ko:K11703
gene-Caper,ko:K13091
gene-Capr,ko:K18743
gene-Casp-4,ko:K02187
gene-Casp-4,ko:K04397
gene-Caspase1,ko:K02187
gene-Caspase1,ko:K04397
gene-Caspase1,ko:K04489
gene-Caspase1,ko:K20008
gene-Cat,ko:K03781
gene-CatD,ko:K01379
gene-CatD,ko:K01382
gene-CatD,ko:K08565
gene-Catl-like,ko:K01363
gene-Catl-like,ko:K01365
gene-Catsup,ko:K14713
gene-Cbl,ko:K04707
gene-Cbp20,ko:K12883
gene-Cbp53E,ko:K14757
gene-Cbp80,ko:K12882
gene-Cbp80,ko:K13288
gene-Cc2d2a,ko:K19352
gene-Ccdc56,ko:K18175
gene-Ccdc85,ko:K16758
gene-Cchl,ko:K01764
gene-Ccm3,ko:K18269
gene-Ccnl1,ko:K02333
gene-Ccnl1,ko:K11459
gene-Ccs,ko:K04569
gene-Cdc10,ko:K02449
gene-Cdc16,ko:K03353
gene-Cdc25,ko:K05866
gene-Cdc25,ko:K05867
gene-Cdc25,ko:K06645
gene-Cdc25,ko:K16723
gene-Cdc27,ko:K03350
gene-Cdc37,ko:K09554
gene-Cdc42,ko:K04393
gene-Cdc45,ko:K06628
gene-Cdc5,ko:K12860
gene-Cdc7,ko:K02214
gene-Cdep,ko:K06082
gene-Cdep,ko:K17477
gene-Cdk1,ko:K02087
gene-Cdk12,ko:K08819
gene-Cdk2,ko:K02088
gene-Cdk2,ko:K02206
gene-Cdk4,ko:K02089
gene-Cdk4,ko:K02091
gene-Cdk4,ko:K02503
gene-Cdk5,ko:K02090
gene-Cdk5alpha,ko:K11716
gene-Cdk5alpha,ko:K19929
gene-Cdk7,ko:K02202
gene-Cdk8,ko:K02208
gene-Cdk9,ko:K02211
gene-Cds,ko:K00981
gene-Ced-12,ko:K12366
gene-Ced-12,ko:K18985
gene-Ced-12,ko:K19241
gene-CenB1A,ko:K12489
gene-CenG1A,ko:K12491
gene-CenG1A,ko:K17848
gene-Cep135,ko:K16461
gene-Cep164,ko:K16462
gene-Cep97,ko:K16717
gene-ChT,ko:K14387
gene-Chbp,ko:K18271
gene-Chc,ko:K04646
gene-Chd1,ko:K11367
gene-Chd1,ko:K20091
gene-Chd64,ko:K20526
gene-Chi,ko:K15617
gene-ChiR1,ko:K01183
gene-Chk2,ko:K06641
gene-Chmp1,ko:K12197
gene-Chpf,ko:K00747
gene-Chpf,ko:K03419
gene-Chrac-14,ko:K02326
gene-Chrac-16,ko:K11656
gene-Chsy,ko:K13499
gene-Cht11,ko:K01183
gene-Cht2,ko:K01183
gene-Cht5,ko:K01183
gene-Cht6,ko:K01183
gene-Cht7,ko:K01183
gene-Cip4,ko:K07196
gene-Cip4,ko:K20121
gene-Cipc,ko:K07560
gene-Cirl,ko:K04593
gene-CkIIalpha,ko:K20305
gene-Cka,ko:K17608
gene-Cks30A,ko:K02219
gene-ClC-a,ko:K05010
gene-ClC-a,ko:K05011
gene-ClC-b,ko:K05015
gene-ClC-b,ko:K05016
gene-ClC-c,ko:K05012
gene-Clc,ko:K04644
gene-Clc,ko:K04645
gene-Clic,ko:K05022
gene-Clk,ko:K02223
gene-Clk,ko:K09026
gene-Cln7,ko:K12307
gene-Clp,ko:K14404
gene-ClpP,ko:K01358
gene-ClpX,ko:K03544
gene-Cluap1,ko:K19684
gene-Cmc1,ko:K18171
gene-Cmtr1,ko:K14589
gene-Cna,ko:K04348
gene-Cnb,ko:K16468
gene-Cndp2,ko:K08660
gene-CngB,ko:K04952
gene-CngB,ko:K04953
gene-Cngl,ko:K04950
gene-Cnot4,ko:K10643
gene-Cnx99A,ko:K08054
gene-Cnx99A,ko:K09551
gene-CoRest,ko:K11829
gene-Coa7,ko:K00772
gene-Coa7,ko:K18180
gene-Coc,ko:K01312
gene-Coc,ko:K09622
gene-Cog1,ko:K20288
gene-Cog2,ko:K20289
gene-Cog3,ko:K20290
gene-Cog4,ko:K20291
gene-Cog6,ko:K20293
gene-Cog7,ko:K20294
gene-Cog8,ko:K20295
gene-Col4a1,ko:K06237
gene-Con,ko:K13023
gene-Copg1,ko:K17267
gene-Coprox,ko:K00228
gene-Coq2,ko:K06125
gene-Coq4,ko:K18586
gene-Coq5,ko:K06127
gene-Coq6,ko:K06126
gene-Coq7,ko:K06134
gene-Coq8,ko:K08869
gene-Coq9,ko:K18587
gene-Corin,ko:K09614
gene-Corin,ko:K20049
gene-Cortactin,ko:K06106
gene-Cow,ko:K08136
gene-Cox10,ko:K02257
gene-Cox11,ko:K02258
gene-Cp110,ko:K16453
gene-Cph,ko:K22045
gene-Cph,ko:K22046
gene-Cpr,ko:K00327
gene-Cpr50Cb,ko:K03006
gene-Cpsf5,ko:K14397
gene-Cpsf6,ko:K13911
gene-Cpsf6,ko:K14398
gene-Cpsf73,ko:K14403
gene-Crag,ko:K20163
gene-CrebA,ko:K09048
gene-CrebB,ko:K05870
gene-CrebB,ko:K09050
gene-CrebB,ko:K09052
gene-Crk,ko:K04438
gene-Crt,ko:K08057
gene-Cse1,ko:K18423
gene-Csk,ko:K05728
gene-Csk,ko:K08888
gene-Csl4,ko:K07573
gene-Csp,ko:K09525
gene-CstF50,ko:K14406
gene-CstF64,ko:K14407
gene-CtBP,ko:K04496
gene-Ctf4,ko:K11274
gene-Ctl1,ko:K06515
gene-Ctl2,ko:K15377
gene-Ctns,ko:K12386
gene-Ctns,ko:K16686
gene-Ctns,ko:K17436
gene-Ctps,ko:K01937
gene-Ctr9,ko:K08399
gene-Ctr9,ko:K15176
gene-CtsB,ko:K01363
gene-Ctu1,ko:K14168
gene-Ctu2,ko:K14169
gene-Cul1,ko:K03347
gene-Cul2,ko:K03870
gene-Cul3,ko:K03869
gene-Cul4,ko:K00558
gene-Cul4,ko:K10609
gene-Cul5,ko:K10612
gene-CycB,ko:K00774
gene-CycB,ko:K05868
gene-CycB,ko:K21770
gene-CycB3,ko:K21771
gene-CycC,ko:K15161
gene-CycG,ko:K10146
gene-CycH,ko:K06634
gene-CycJ,ko:K13983
gene-CycT,ko:K15188
gene-CycY,ko:K18468
gene-Cyca,ko:K06627
gene-Cyce,ko:K06626
gene-Cyp18a1,ko:K07418
gene-Cyp18a1,ko:K14985
gene-Cyp303a1,ko:K07418
gene-Cyp305b1,ko:K17855
gene-Cyp307a1,ko:K14939
gene-Cyp332a1,ko:K14999
gene-Cyp337a1,ko:K14999
gene-Cyp366a1,ko:K07427
gene-Cyp366a1,ko:K15001
gene-Cyp366a1,ko:K15007
gene-Cyp40,ko:K01409
gene-Cyp40,ko:K05864
gene-Cyp40,ko:K09566
gene-Cyp4g15,ko:K15001
gene-Cyp6ab5,ko:K14999
gene-Cyp6ab5,ko:K15003
gene-Cyp6ae22,ko:K14999
gene-Cypa,ko:K09565
gene-Cypl,ko:K12733
gene-CysRS,ko:K01883
gene-CysRS-m,ko:K01883
gene-Cyt-c1,ko:K00413
gene-D2hgdh,ko:K18204
gene-DAAM,ko:K04512
gene-DAT,ko:K05036
gene-DCAF12,ko:K11803
gene-DCP1,ko:K12611
gene-DCP2,ko:K12613
gene-DCTN1-p150,ko:K04648
gene-DCTN2-p50,ko:K10424
gene-DCTN4-p62,ko:K10426
gene-DCTN5-p25,ko:K10427
gene-DCTN6-p27,ko:K10428
gene-DCX-EMAP,ko:K18595
gene-DESAT4,ko:K00507
gene-DESAT4,ko:K15331
gene-DLDH,ko:K00382
gene-DMAP1,ko:K11324
gene-DNAlig1,ko:K10747
gene-DNAlig1,ko:K16679
gene-DNAlig3,ko:K10776
gene-DNApol-alpha180,ko:K02320
gene-DNApol-alpha50,ko:K02684
gene-DNApol-alpha50,ko:K16733
gene-DNApol-alpha73,ko:K02321
gene-DNApol-epsilon255,ko:K02324
gene-DNApol-epsilon58,ko:K02325
gene-DNApol-eta,ko:K03509
gene-DNApol-gamma35,ko:K02333
gene-DNApol-theta,ko:K02349
gene-DNApol-zeta,ko:K02350
gene-DNaseII,ko:K01158
gene-DPCoAC,ko:K15085
gene-DUBAI,ko:K11854
gene-DZIP1,ko:K16470
gene-Daao1,ko:K00272
gene-Daao2,ko:K00272
gene-Daao2,ko:K00273
gene-Daao2,ko:K16582
gene-Dab,ko:K12475
gene-Dab,ko:K20054
gene-Dad,ko:K04677
gene-Dad,ko:K19631
gene-Dad1,ko:K12668
gene-Dak1,ko:K13800
gene-Dap160,ko:K20045
gene-Dbct,ko:K09699
gene-Dbp21E2,ko:K20096
gene-Dbp45A,ko:K14778
gene-Dbp73D,ko:K14807
gene-Dbp80,ko:K18655
gene-Dbp80,ko:K18656
gene-Dci,ko:K13239
gene-Dci,ko:K17964
gene-Dcps,ko:K12584
gene-Dcr-1,ko:K11592
gene-Dd,ko:K17617
gene-Ddx1,ko:K13177
gene-Delta,ko:K06051
gene-Delta,ko:K21635
gene-Der-1,ko:K11519
gene-Der-1,ko:K13989
gene-Der-2,ko:K13989
gene-Der-2,ko:K19737
gene-Dera,ko:K01619
gene-Desat1,ko:K00507
gene-Desat1,ko:K15331
gene-Det,ko:K08731
gene-Dfd,ko:K09304
gene-Dg,ko:K06265
gene-Dgk,ko:K00901
gene-Dgkepsilon,ko:K00901
gene-Dh31-R,ko:K04576
gene-Dh31-R,ko:K04577
gene-Dh44-R2,ko:K04578
gene-Dh44-R2,ko:K04579
gene-Dhap-at,ko:K00649
gene-Dhc16F,ko:K10408
gene-Dhc36C,ko:K10408
gene-Dhc62B,ko:K10408
gene-Dhc64C,ko:K10413
gene-Dhc93AB,ko:K10408
gene-Dhc98D,ko:K10408
gene-Dhdds,ko:K11778
gene-Dhfr,ko:K00287
gene-Dhit,ko:K16449
gene-Dhod,ko:K00254
gene-Dhpr,ko:K00357
gene-Dhr-1,ko:K05052
gene-Dhr-1,ko:K05053
gene-Dhrs4,ko:K11147
gene-Dhrs4,ko:K11164
gene-Dhs,ko:K00809
gene-Dhx15,ko:K12820
gene-Dhx15,ko:K14305
gene-Diap2,ko:K04725
gene-Diap2,ko:K16060
gene-Diap2,ko:K16061
gene-Dic1,ko:K13577
gene-Dim1,ko:K12859
gene-Dip-B,ko:K01255
gene-Dip-C,ko:K06106
gene-Dip-C,ko:K14213
gene-Dis3,ko:K12585
gene-Dlc90F,ko:K10420
gene-Dlic,ko:K10416
gene-Dll,ko:K09314
gene-Dll,ko:K18488
gene-Dll,ko:K18489
gene-Dmc1,ko:K10872
gene-Dmc1,ko:K19347
gene-Dmtn,ko:K16288
gene-Dna2,ko:K10742
gene-Dna2,ko:K15376
gene-DnaJ-1,ko:K09503
gene-DnaJ-10,ko:K09529
gene-DnaJ-11,ko:K19374
gene-DnaJ-13,ko:K09524
gene-DnaJ-14,ko:K09504
gene-DnaJ-15,ko:K09537
gene-DnaJ-16,ko:K09506
gene-DnaJ-17,ko:K09531
gene-DnaJ-21,ko:K09528
gene-DnaJ-5,ko:K09507
gene-DnaJ-5,ko:K09510
gene-DnaJ-5,ko:K09511
gene-DnaJ-6,ko:K09518
gene-DnaJ-6,ko:K09520
gene-DnaJ-8,ko:K19371
gene-Dnaaf3,ko:K19752
gene-Dnaaf5,ko:K19759
gene-Dnah3,ko:K10408
gene-Dnali1,ko:K10410
gene-Dnmt1,ko:K00558
gene-Doa,ko:K08823
gene-Doc1,ko:K10176
gene-Doc1,ko:K10180
gene-Dok,ko:K20234
gene-Dolk,ko:K00902
gene-Dopr1,ko:K04144
gene-Dopr1,ko:K04148
gene-Dopr1,ko:K05840
gene-Dorsal,ko:K09254
gene-Dp,ko:K04683
gene-Dp,ko:K09392
gene-Dp,ko:K09393
gene-Dp,ko:K09394
gene-Dpck,ko:K00859
gene-Dpck,ko:K08597
gene-Dph1,ko:K07561
gene-Dph2,ko:K17866
gene-Dph3,ko:K15455
gene-Dph5,ko:K00586
gene-Dpm1,ko:K00721
gene-Dpp10,ko:K01278
gene-DppIII,ko:K01277
gene-Drak,ko:K08804
gene-Dredd,ko:K02187
gene-Dredd,ko:K04398
gene-Drep1,ko:K02310
gene-Drep4,ko:K02311
gene-Drip,ko:K09884
gene-Drl-2,ko:K05128
gene-Droj2,ko:K09502
gene-Droj2,ko:K09503
gene-Droj2,ko:K09505
gene-Dronc,ko:K20009
gene-Drp1,ko:K17065
gene-Dscam1,ko:K06767
gene-Dscam1,ko:K14965
gene-Dscam3,ko:K06767
gene-Dsor1,ko:K04368
gene-Dsor1,ko:K04369
gene-Dtd,ko:K07560
gene-Duox,ko:K13411
gene-Dus1,ko:K05542
gene-Dus2,ko:K05543
gene-Dus3,ko:K05544
gene-Dus4,ko:K05545
gene-Dyrk2,ko:K08825
gene-Dyrk2,ko:K18669
gene-Dyrk3,ko:K18669
gene-Dysb,ko:K20189
gene-E(Pc),ko:K11322
gene-E(bx),ko:K11728
gene-E(spl)mbeta,ko:K09087
gene-E(spl)mbeta,ko:K09090
gene-E(z),ko:K11430
gene-E(z),ko:K17451
gene-E2f1,ko:K06620
gene-E2f1,ko:K09389
gene-ECSIT,ko:K04405
gene-ENGase,ko:K01227
gene-ERR,ko:K08552
gene-ERR,ko:K08553
gene-ERR,ko:K08554
gene-ERR,ko:K08703
gene-ERp44,ko:K17264
gene-ERp57,ko:K08056
gene-Eaat1,ko:K05614
gene-Eaat2,ko:K05613
gene-Eaat2,ko:K05614
gene-Eaf,ko:K15186
gene-Eaf6,ko:K11344
gene-Eb1,ko:K10436
gene-EcR,ko:K08535
gene-EcR,ko:K08536
gene-EcR,ko:K14034
gene-Echs1,ko:K07511
gene-Edc3,ko:K12615
gene-Edem1,ko:K10085
gene-Edem2,ko:K10086
gene-Efa6,ko:K12494
gene-Egfr,ko:K04361
gene-Egfr,ko:K05083
gene-Egfr,ko:K05084
